,op_unique_carrier,origin,dest,distance,month,value,crs_arr_hour,Numerical_Week,Weekday,meanOfGrouping,arr_delay
0,WN,PHX,ABQ,328.0,1,Patchy rain possible,17,1,2,38.5,42.055612393304884
1,WN,PHX,ABQ,328.0,1,Patchy rain possible,17,1,2,38.5,42.055612393304884
2,WN,PHX,ABQ,328.0,1,Patchy rain possible,17,1,3,38.5,35.943960080209116
3,WN,PHX,ABQ,328.0,1,Patchy rain possible,17,1,3,38.5,35.943960080209116
4,WN,PHX,ABQ,328.0,1,Patchy rain possible,17,1,4,38.5,38.05309538210253
5,WN,PHX,ABQ,328.0,1,Patchy rain possible,17,1,4,38.5,38.05309538210253
6,WN,PHX,ABQ,328.0,1,Heavy snow,17,1,6,38.5,35.695251268042085
7,WN,PHX,ABQ,328.0,1,Heavy snow,17,1,6,38.5,35.695251268042085
8,WN,PHX,ABQ,328.0,1,Patchy rain possible,15,1,2,0.0,-3.269445286138423
9,WN,PHX,ABQ,328.0,1,Heavy snow,15,1,6,0.0,-7.596762038309875
10,WN,PHX,ABQ,328.0,1,Patchy rain possible,11,1,2,0.0,-4.82442349838917
11,AA,PHX,ABQ,328.0,1,Patchy rain possible,11,1,2,0.0,3.3245704040546067
12,AA,PHX,ABQ,328.0,1,Patchy rain possible,11,1,3,0.0,-2.7870819090411563
13,WN,PHX,ABQ,328.0,1,Patchy rain possible,11,1,3,0.0,-10.936075811484926
14,WN,PHX,ABQ,328.0,1,Patchy rain possible,11,1,4,0.0,-9.434343531332187
15,AA,PHX,ABQ,328.0,1,Patchy rain possible,11,1,4,0.0,-1.3615143700047918
16,AA,PHX,ABQ,328.0,1,Cloudy,11,1,5,0.0,3.9253715422610043
17,AA,PHX,ABQ,328.0,1,Heavy snow,11,1,6,0.0,-4.109402670182489
18,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,15.92704138067101
19,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,15.92704138067101
20,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,15.92704138067101
21,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,15.92704138067101
22,WN,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,15.92704138067101
23,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,17.671769884955612
24,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,17.671769884955612
25,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,17.671769884955612
26,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,17.671769884955612
27,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,2,23.2,17.671769884955612
28,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,19.730996504949708
29,DL,PHX,ATL,1587.0,1,Patchy rain possible,11,1,3,23.2,19.730996504949708
