date,maxtempC,maxtempF,mintempC,mintempF,avgtempC,avgtempF,totalSnow_cm,sunHour,uvIndex,airport_code
2018-01-01,-2,28,-8,18,-5,23,0.0,8.7,2,ORD
2018-01-02,-6,22,-11,13,-8,18,0.0,8.7,2,ORD
2018-01-03,-8,17,-12,11,-10,15,0.0,8.7,2,ORD
2018-01-04,-7,20,-11,12,-9,16,0.0,8.7,2,ORD
2018-01-05,-8,17,-12,10,-10,14,0.0,8.7,2,ORD
2018-01-06,-10,15,-13,8,-11,12,0.0,8.7,2,ORD
2018-01-07,-8,18,-13,10,-10,14,0.0,8.7,2,ORD
2018-01-08,-8,18,-12,11,-9,15,0.0,8.7,2,ORD
2018-01-09,-5,23,-11,13,-7,19,0.0,8.7,2,ORD
2018-01-10,-4,25,-9,15,-7,20,0.0,8.7,2,ORD
2018-01-11,-6,21,-9,15,-7,19,0.0,8.7,2,ORD
2018-01-12,-3,26,-9,15,-6,21,0.0,8.7,2,ORD
2018-01-13,-5,23,-9,16,-7,20,0.0,8.7,2,ORD
2018-01-14,-2,28,-9,17,-6,22,0.0,8.7,2,ORD
2018-01-15,-5,23,-9,17,-7,20,0.0,8.7,2,ORD
2018-01-16,-3,28,-8,18,-5,23,0.0,8.7,2,ORD
2018-01-17,-3,26,-9,15,-6,21,0.0,8.7,2,ORD
2018-01-18,-2,28,-8,17,-5,23,0.0,8.7,2,ORD
2018-01-19,-1,29,-8,18,-4,24,0.0,8.7,2,ORD
2018-01-20,0,32,-6,21,-3,27,0.0,8.7,2,ORD
2018-01-21,1,33,-6,21,-2,28,0.0,8.7,2,ORD
2018-01-22,-1,30,-6,21,-3,26,0.0,8.7,2,ORD
2018-01-23,-1,30,-7,20,-4,25,0.0,8.7,2,ORD
2018-01-24,-5,23,-8,18,-6,21,0.0,8.7,2,ORD
2018-01-25,-6,21,-10,14,-8,17,0.0,8.7,2,ORD
2018-01-26,-9,17,-13,9,-11,13,0.0,8.7,2,ORD
2018-01-27,-9,16,-14,6,-11,12,0.0,8.7,2,ORD
2018-01-28,-9,16,-14,8,-11,13,0.0,8.7,2,ORD
2018-01-29,-8,18,-12,10,-10,14,0.0,8.7,2,ORD
2018-01-30,-8,18,-12,10,-10,14,0.0,8.7,2,ORD
2018-01-31,-7,19,-12,11,-10,15,0.0,8.7,2,ORD
2018-02-01,-6,21,-11,11,-9,16,0.0,8.7,1,ORD
2018-02-02,-6,21,-11,12,-9,17,0.0,8.7,2,ORD
2018-02-03,-5,22,-10,15,-7,19,0.0,8.7,1,ORD
2018-02-04,-5,24,-10,15,-7,19,0.0,7.1,1,ORD
2018-01-01,0,31,-5,24,-3,27,0.0,9.9,1,ATL
2018-01-02,2,35,-6,21,-2,29,0.0,10.0,2,ATL
2018-01-03,3,38,-3,28,0,33,0.0,8.3,1,ATL
2018-01-04,0,32,-5,23,-3,28,0.0,10.0,2,ATL
2018-01-05,3,37,-6,21,-1,30,0.0,10.0,2,ATL
2018-01-06,3,38,-3,26,0,32,0.0,10.0,2,ATL
2018-01-07,4,38,-2,28,0,33,0.0,10.0,1,ATL
2018-01-08,3,38,-2,29,1,34,0.0,5.0,1,ATL
2018-01-09,15,59,4,38,10,50,0.0,8.3,2,ATL
2018-01-10,18,64,9,49,14,58,0.0,8.3,3,ATL
2018-01-11,14,58,12,54,14,56,0.0,5.0,3,ATL
2018-01-12,15,59,-2,29,12,53,0.0,5.0,3,ATL
2018-01-13,4,39,-3,26,1,34,0.0,10.1,2,ATL
2018-01-14,6,44,-3,27,3,37,0.0,10.1,2,ATL
2018-01-15,10,49,-1,31,5,42,0.0,10.1,3,ATL
2018-01-16,10,49,-1,31,6,42,0.3,10.0,2,ATL
2018-01-17,-3,26,-8,17,-6,22,3.1,10.1,1,ATL
2018-01-18,6,43,-8,19,1,33,0.0,10.1,2,ATL
2018-01-19,13,56,-1,31,7,44,0.0,10.2,3,ATL
2018-01-20,17,62,4,38,11,51,0.0,10.2,4,ATL
2018-01-21,20,67,7,45,15,58,0.0,10.2,4,ATL
2018-01-22,15,60,9,49,13,56,0.0,5.1,3,ATL
2018-01-23,12,54,7,45,10,49,0.0,10.6,3,ATL
2018-01-24,11,51,2,35,7,44,0.0,10.6,3,ATL
2018-01-25,18,64,4,39,11,53,0.0,10.6,4,ATL
2018-01-26,13,56,4,38,9,48,0.0,8.5,2,ATL
2018-01-27,14,56,9,47,11,52,0.0,5.3,3,ATL
2018-01-28,13,55,11,52,12,54,0.0,5.3,3,ATL
2018-01-29,13,56,7,44,10,51,0.0,10.7,3,ATL
2018-01-30,7,44,0,31,4,39,0.0,10.7,2,ATL
2018-01-31,12,54,2,36,8,46,0.0,10.7,3,ATL
2018-02-01,15,59,6,43,10,50,0.0,10.0,2,ATL
2018-02-02,5,41,0,32,3,37,0.0,10.8,1,ATL
2018-02-03,9,49,-1,31,5,41,0.0,10.0,1,ATL
2018-02-04,11,51,2,36,7,44,0.0,5.4,2,ATL
2018-01-01,-5,22,-11,11,-8,17,0.0,8.7,2,BOS
2018-01-02,-6,21,-11,11,-9,17,0.0,8.7,2,BOS
2018-01-03,-3,26,-9,15,-6,22,0.2,8.7,2,BOS
2018-01-04,-6,22,-10,15,-7,20,5.4,3.4,1,BOS
2018-01-05,-8,18,-12,10,-10,14,0.8,8.7,1,BOS
2018-01-06,-7,19,-14,8,-10,14,0.0,8.7,2,BOS
2018-01-07,-8,18,-11,12,-9,15,1.9,6.9,1,BOS
2018-01-08,-9,16,-13,8,-11,12,0.4,9.6,1,BOS
2018-01-09,-9,15,-16,4,-12,10,0.1,9.6,2,BOS
2018-01-10,-8,17,-15,5,-12,11,0.3,9.6,2,BOS
2018-01-11,-12,11,-14,7,-13,9,11.3,8.2,1,BOS
2018-01-12,-8,17,-16,3,-12,10,6.5,9.6,1,BOS
2018-01-13,-8,17,-11,12,-10,15,20.5,4.8,1,BOS
2018-01-14,-7,19,-11,13,-9,16,20.7,4.8,1,BOS
2018-01-15,-10,15,-12,11,-11,12,16.2,4.8,1,BOS
2018-01-16,-10,15,-14,8,-12,11,6.5,8.2,1,BOS
2018-01-17,-9,16,-15,4,-13,9,0.1,9.7,1,BOS
2018-01-18,-8,18,-15,4,-12,11,0.0,9.7,2,BOS
2018-01-19,-8,17,-13,8,-11,13,0.1,9.7,1,BOS
2018-01-20,-4,25,-11,12,-7,19,0.0,9.7,2,BOS
2018-01-21,-3,27,-9,16,-6,22,0.0,9.8,2,BOS
2018-01-22,-4,24,-9,16,-7,20,0.0,9.8,1,BOS
2018-01-23,-7,19,-11,12,-9,16,1.7,9.8,1,BOS
2018-01-24,-6,21,-14,7,-10,14,0.0,4.9,1,BOS
2018-01-25,-8,19,-14,6,-11,12,0.0,9.8,2,BOS
2018-01-26,-14,7,-21,-5,-17,1,0.0,9.9,2,BOS
2018-01-27,-19,-3,-27,-16,-23,-9,0.0,9.9,2,BOS
2018-01-28,-18,-1,-27,-17,-22,-7,0.0,9.9,2,BOS
2018-01-29,-9,16,-21,-6,-13,9,0.0,9.9,1,BOS
2018-01-30,-7,20,-14,7,-10,14,0.9,10.0,1,BOS
2018-01-31,-6,21,-13,8,-10,15,0.0,9.9,1,BOS
2018-02-01,-9,15,-17,2,-13,9,0.0,10.0,2,BOS
2018-02-02,-9,17,-15,5,-11,12,0.8,8.3,1,BOS
2018-02-03,-12,10,-21,-5,-15,4,3.0,8.3,1,BOS
2018-02-04,-13,9,-23,-9,-17,2,0.0,10.1,2,BOS
2018-01-01,4,39,-5,23,0,32,0.0,8.7,2,CLT
2018-01-02,2,35,-3,27,-1,31,0.0,8.7,2,CLT
2018-01-03,1,33,-5,23,-2,28,0.0,8.7,2,CLT
2018-01-04,1,33,-5,24,-2,28,0.0,8.7,2,CLT
2018-01-05,-3,28,-5,23,-3,26,0.0,7.0,1,CLT
2018-01-06,-3,27,-7,19,-5,23,0.0,8.7,2,CLT
2018-01-07,-4,26,-10,14,-7,20,0.0,8.7,2,CLT
2018-01-08,-3,27,-12,11,-7,19,0.0,8.7,2,CLT
2018-01-09,-3,27,-11,12,-7,20,0.0,8.7,2,CLT
2018-01-10,-3,26,-12,11,-7,19,0.0,8.7,2,CLT
2018-01-11,-2,28,-11,12,-7,20,0.0,8.7,2,CLT
2018-01-12,0,32,-11,12,-5,23,0.0,8.7,2,CLT
2018-01-13,-1,31,-9,16,-5,23,0.0,7.1,1,CLT
2018-01-14,5,42,-8,17,-1,31,0.0,8.7,2,CLT
2018-01-15,13,55,-2,29,6,43,0.0,8.7,3,CLT
2018-01-16,4,38,-5,23,0,32,0.0,3.8,1,CLT
2018-01-17,-1,31,-8,18,-4,25,0.0,8.7,2,CLT
2018-01-18,1,33,-10,14,-4,25,0.0,8.7,2,CLT
2018-01-19,0,31,-8,18,-4,25,0.0,8.7,2,CLT
2018-01-20,10,50,-7,20,4,39,0.0,8.7,2,CLT
2018-01-21,7,44,-3,26,1,34,0.0,8.7,2,CLT
2018-01-22,4,40,-5,23,0,32,0.0,8.7,2,CLT
2018-01-23,3,37,-5,24,0,31,0.0,7.1,1,CLT
2018-01-24,6,43,-3,28,2,36,0.0,8.7,2,CLT
2018-01-25,4,40,-2,28,1,33,0.0,8.7,2,CLT
2018-01-26,7,45,-1,30,3,38,0.0,7.1,1,CLT
2018-01-27,-2,29,-4,25,-3,28,0.0,8.7,2,CLT
2018-01-28,-5,22,-9,16,-7,20,0.0,8.7,2,CLT
2018-01-29,-6,22,-11,13,-8,17,0.0,8.7,2,CLT
2018-01-30,-7,20,-11,12,-9,17,0.0,8.7,1,CLT
2018-01-31,-5,24,-14,6,-9,16,0.0,8.7,2,CLT
2018-02-01,-4,24,-15,6,-8,17,0.0,8.7,2,CLT
2018-02-02,-4,25,-11,12,-7,20,0.0,8.7,2,CLT
