unique_carrier_name,passengers
40-Mile Air,3830.0
ABC Aerolineas SA de CV dba Interjet,7106420.0
ABS JETS A.S,618.0
ABSA-Aerolinhas Brasileiras,0.0
ABX Air Inc,0.0
ACM AIR CHARTER GmbH,950.0
"ADVANCED AIR, LLC",40026.0
Abelag Aviation AG,10.0
Acropolis Aviation Ltd.,851.0
Aer Lingus Plc,4473505.0
AeroLogic GmbH,0.0
Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,180313.0
"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",1140129.0
Aeroflot Russian Airlines,1524594.0
Aerolineas Argentinas,1159519.0
Aerolitoral,3029174.0
Aeromexico,9823440.0
Aerotransportes Mas De Crga,0.0
Aerounion Aerotransporte de Carga Union SA de CV,0.0
Aerovias Nacl De Colombia,6831938.0
Aerovias de Intergracian Regional,521449.0
Air Alsie A/S,2190.0
Air Asia X Berhad dba Airasia X,290179.0
Air Atlanta Icelandic,0.0
Air Berlin PLC and CO,2437670.0
Air Busan,341509.0
Air Canada,14480343.0
Air Canada rouge LP,11098398.0
"Air Charter, Inc d/b/a Air Flamenco",206231.0
Air China,3464465.0
Air Company Yakutia,4370.0
Air Europa,1491550.0
Air Excursions LLC,35550.0
Air Georgian,4501240.0
Air Hamburg Luftverkehrsgesellschaft mbH,14747.0
Air Japan Co,491711.0
Air New Zealand,3081252.0
Air Pacific Ltd.,1069556.0
"Air Philippines Corp d/b/a Airphil Express, Philippines Airlines",9226.0
Air Serbia,270673.0
Air Sunshine Inc.,52559.0
Air Tahiti Nui,723172.0
Air Transat,1010677.0
Air Transport International,49.0
Air Wisconsin Airlines Corp,23126809.0
AirBridgeCargo Airlines Limited,0.0
Airitaly S.P.A.,674578.0
Alaska Airlines Inc.,100917155.0
Alaska Central Express,34794.0
Albinati Aeronautics SA,539.0
Albinati aviation Limited,294.0
Alia-(The) Royal Jordanian,1233577.0
All Nippon Airways Co.,7404880.0
Allegiant Air,61757457.0
Aloha Air Cargo,0.0
American Airlines Inc.,300381920.0
Amerijet International,0.0
Ameristar Air Cargo,39883.0
Antonov Company,0.0
Arik Air International,78008.0
Asia Pacific,0.0
Asiana Airlines Inc.,4545366.0
Atlas Air Inc.,144237.0
Austrian Airlines,2827602.0
"Aviateca, S.A.",20822.0
"Avior Airlines, C.A.",505748.0
Avjet Corporation,21658.0
Azerbaijan Airlines CJSC,146739.0
Azul Linhas Aereas Brazileiras S A,2063775.0
Bahamasair Holding Limited,2082184.0
Beijing Capital Airlines,106478.0
Bemidji Airlines,0.0
Bering Air Inc.,550830.0
Bertelsmann Aviation GmbH,47.0
"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",19792.0
Blue Jet SP Z o o,732.0
Boutique Air,707640.0
Bradley Air Services Ltd.,15908.0
Britannia Airways Ltd.,847424.0
British Airways Plc,17039699.0
Brussels Airlines N.V.,1159990.0
C.A.L Cargo Airlines,0.0
CAT Aviation,1003.0
CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,522876.0
Cape Air,2997461.0
Cargojet Airways Ltd.,0.0
Cargologicair Limited,0.0
Cargolux Airlines International S.A,0.0
Cargolux Italia SpA,0.0
Caribbean Airlines Limited,3754918.0
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",577211.0
Cathay Pacific Airways Ltd.,2996217.0
Cavok Air LLC,0.0
