op_unique_carrier,month,sumOfDelays
9E,1,31.02396637
9E,2,32.35601625
9E,3,21.38947682
9E,4,33.62287267
9E,5,20.73456571
9E,6,43.86052716
9E,7,37.86969925
9E,8,36.36266782
9E,9,15.09096731
9E,10,16.95599896
9E,11,19.32352577
9E,12,24.11658613
9K,1,-2.88856305
9K,2,-6.941558442
9K,3,18.41055718
9K,4,-0.642424242
9K,5,-7.859237537
AA,1,19.07446302
AA,2,25.54593827
AA,3,21.59436281
AA,4,25.41783273
AA,5,40.25585912
AA,6,45.75046228
AA,7,44.93296911
AA,8,40.93167786
AA,9,23.74391984
AA,10,26.89954435
AA,11,20.7429764
AA,12,23.64627779
AS,1,5.763543641
AS,2,22.36507073
AS,3,6.174829263
AS,4,8.479959341
AS,5,11.51711644
AS,6,12.53029945
AS,7,12.29017027
AS,8,24.38897384
AS,9,7.84682499
AS,10,10.48348088
AS,11,11.56555406
AS,12,20.92886971
AX,1,64.26183366
AX,2,72.8224629
AX,3,37.3794894
AX,4,31.97155667
AX,5,50.1549112
AX,6,95.67385232
AX,7,75.0919754
AX,8,59.90633217
AX,9,31.93941809
AX,10,40.45711593
AX,11,50.19101691
AX,12,40.97022919
B6,1,56.62089877
B6,2,42.76384131
B6,3,45.17550117
B6,4,52.13133978
B6,5,39.33688811
B6,6,47.72174398
B6,7,64.37402329
B6,8,69.81507835
B6,9,23.74850731
B6,10,25.40950335
B6,11,35.19765508
B6,12,59.48185576
C5,1,88.4013083
C5,2,76.68072738
C5,3,57.60800803
C5,4,64.61075162
C5,5,58.79811934
C5,6,81.16033982
C5,7,69.7967719
C5,8,93.1397168
C5,9,55.58256787
C5,10,68.11295946
C5,11,91.70314712
C5,12,93.77434061
CP,1,24.35854252
CP,2,39.39320627
CP,3,29.92699063
CP,4,17.40390879
CP,5,23.80204837
CP,6,30.79077381
CP,7,28.23270843
CP,8,41.89754821
CP,9,20.54145704
CP,10,35.09004374
CP,11,28.15484763
CP,12,34.0171809
DL,1,16.70682507
DL,2,19.98181669
DL,3,11.00964529
DL,4,16.67361862
DL,5,16.41946281
DL,6,32.52616036
DL,7,31.69346399
DL,8,25.26061123
DL,9,8.379239144
DL,10,8.034483782
DL,11,12.28502323
DL,12,10.59975724
EM,1,2.161725067
EM,2,40.01752022
EM,3,13.37614679
EM,4,18.49858757
EM,5,22.51068091
EM,6,17.93084371
EM,7,25.49134487
EM,8,15.36702128
EM,9,11.86130374
EM,10,46.75149502
EM,11,11.04326923
EM,12,25.94266667
EV,1,42.20379633
EV,2,45.44633057
EV,3,29.52736774
EV,4,35.35083954
EV,5,35.76388675
EV,6,58.87509483
EV,7,50.43911239
EV,8,54.69133908
EV,9,40.16541213
EV,10,40.08806277
EV,11,40.71780251
EV,12,52.52295417
F9,1,38.63154874
F9,2,41.88048334
F9,3,29.2576735
F9,4,38.16702686
F9,5,57.16028598
F9,6,71.56689851
F9,7,63.82266816
F9,8,58.07308755
F9,9,39.37606421
F9,10,44.22542409
F9,11,36.38076333
F9,12,35.50619844
G4,1,32.53414724
G4,2,36.9189831
G4,3,23.21969697
G4,4,31.12289862
G4,5,38.28292483
G4,6,53.72684142
G4,7,48.76911944
G4,8,39.95499497
G4,9,17.44174672
G4,10,25.45553903
G4,11,29.02617071
G4,12,35.69559608
G7,1,49.00300916
G7,2,60.1965716
G7,3,35.97309091
G7,4,20.79371357
G7,5,35.72964701
G7,6,63.3571575
G7,7,37.80161404
