city,dest_flight_count,dest_flight_percent,origin_flight_count,origin_flight_percent,total_flight_count,total_flight_percent
Chicago,21366,6.22,24535,7.14,45901,6.68
Atlanta,14188,4.13,15271,4.45,29459,4.29
New York,13319,3.88,12574,3.66,25893,3.77
Dallas/Fort Worth,13013,3.79,15049,4.38,28062,4.09
Denver,11620,3.38,13137,3.82,24757,3.6
Los Angeles,10828,3.15,10296,3.0,21124,3.08
Houston,10384,3.02,10562,3.08,20946,3.05
Charlotte,10120,2.95,12261,3.57,22381,3.26
Washington,9845,2.87,9881,2.88,19726,2.87
Seattle,9168,2.67,8493,2.47,17661,2.57
San Francisco,8816,2.57,8329,2.42,17145,2.5
Newark,8807,2.56,8034,2.34,16841,2.45
Phoenix,8263,2.41,8140,2.37,16403,2.39
Las Vegas,7413,2.16,7354,2.14,14767,2.15
Boston,6969,2.03,6690,1.95,13659,1.99
Orlando,6354,1.85,6403,1.86,12757,1.86
Detroit,6334,1.84,6773,1.97,13107,1.91
Philadelphia,6282,1.83,6817,1.98,13099,1.91
Minneapolis,5930,1.73,5784,1.68,11714,1.71
Fort Lauderdale,4644,1.35,4651,1.35,9295,1.35
Salt Lake City,4626,1.35,4362,1.27,8988,1.31
Portland,4258,1.24,4185,1.22,8443,1.23
San Diego,4250,1.24,4124,1.2,8374,1.22
Baltimore,4178,1.22,4557,1.33,8735,1.27
Miami,3629,1.06,4092,1.19,7721,1.12
Nashville,3420,1.0,3431,1.0,6851,1.0
Tampa,3419,1.0,3243,0.94,6662,0.97
St. Louis,3345,0.97,3481,1.01,6826,0.99
Dallas,3244,0.94,3685,1.07,6929,1.01
Raleigh/Durham,3076,0.9,3051,0.89,6127,0.89
San Jose,2836,0.83,2884,0.84,5720,0.83
Austin,2818,0.82,2790,0.81,5608,0.82
New Orleans,2504,0.73,2548,0.74,5052,0.74
Sacramento,2359,0.69,2202,0.64,4561,0.66
Kansas City,2289,0.67,2085,0.61,4374,0.64
Columbus,2278,0.66,2120,0.62,4398,0.64
Oakland,2257,0.66,2437,0.71,4694,0.68
Cleveland,2240,0.65,2058,0.6,4298,0.63
Honolulu,2228,0.65,2128,0.62,4356,0.63
Indianapolis,2204,0.64,2065,0.6,4269,0.62
Cincinnati,2138,0.62,2171,0.63,4309,0.63
Pittsburgh,2087,0.61,1982,0.58,4069,0.59
Santa Ana,1869,0.54,1695,0.49,3564,0.52
San Antonio,1824,0.53,1636,0.48,3460,0.5
Milwaukee,1578,0.46,1451,0.42,3029,0.44
Jacksonville,1573,0.46,1368,0.4,2941,0.43
San Juan,1420,0.41,1198,0.35,2618,0.38
Fort Myers,1415,0.41,1263,0.37,2678,0.39
Burbank,1330,0.39,1264,0.37,2594,0.38
Hartford,1306,0.38,1169,0.34,2475,0.36
Albuquerque,1285,0.37,1120,0.33,2405,0.35
Buffalo,1238,0.36,1089,0.32,2327,0.34
Richmond,1233,0.36,1296,0.38,2529,0.37
Oklahoma City,1225,0.36,983,0.29,2208,0.32
Norfolk,1212,0.35,996,0.29,2208,0.32
Louisville,1204,0.35,1175,0.34,2379,0.35
West Palm Beach/Palm Beach,1186,0.35,1139,0.33,2325,0.34
Omaha,1168,0.34,1149,0.33,2317,0.34
Memphis,1159,0.34,1045,0.3,2204,0.32
Reno,1048,0.31,903,0.26,1951,0.28
Ontario,1034,0.3,911,0.27,1945,0.28
Rochester,1029,0.3,932,0.27,1961,0.29
Charleston,1027,0.3,973,0.28,2000,0.29
Birmingham,1018,0.3,864,0.25,1882,0.27
Kahului,1015,0.3,1107,0.32,2122,0.31
Boise,1005,0.29,916,0.27,1921,0.28
Grand Rapids,992,0.29,899,0.26,1891,0.28
El Paso,974,0.28,729,0.21,1703,0.25
Spokane,966,0.28,787,0.23,1753,0.26
Tucson,959,0.28,666,0.19,1625,0.24
Providence,912,0.27,780,0.23,1692,0.25
Knoxville,897,0.26,783,0.23,1680,0.24
Fayetteville,854,0.25,821,0.24,1675,0.24
Tulsa,843,0.25,772,0.22,1615,0.24
Albany,833,0.24,725,0.21,1558,0.23
Savannah,816,0.24,687,0.2,1503,0.22
Greer,798,0.23,700,0.2,1498,0.22
Greensboro/High Point,783,0.23,639,0.19,1422,0.21
Anchorage,782,0.23,629,0.18,1411,0.21
Des Moines,779,0.23,699,0.2,1478,0.22
Dayton,765,0.22,733,0.21,1498,0.22
Syracuse,730,0.21,681,0.2,1411,0.21
Long Beach,729,0.21,637,0.19,1366,0.2
Little Rock,684,0.2,611,0.18,1295,0.19
Madison,662,0.19,607,0.18,1269,0.18
White Plains,605,0.18,544,0.16,1149,0.17
Columbia,591,0.17,599,0.17,1190,0.17
Lihue,557,0.16,565,0.16,1122,0.16
Springfield,557,0.16,590,0.17,1147,0.17
Burlington,555,0.16,513,0.15,1068,0.16
Wichita,546,0.16,491,0.14,1037,0.15
Manchester,534,0.16,404,0.12,938,0.14
Colorado Springs,532,0.15,460,0.13,992,0.14
Lexington,532,0.15,499,0.15,1031,0.15
Palm Springs,529,0.15,454,0.13,983,0.14
Sanford,515,0.15,500,0.15,1015,0.15
Pensacola,512,0.15,462,0.13,974,0.14
Fresno,505,0.15,463,0.13,968,0.14
Kona,501,0.15,478,0.14,979,0.14
Asheville,473,0.14,399,0.12,872,0.13
Myrtle Beach,465,0.14,436,0.13,901,0.13
Chattanooga,455,0.13,335,0.1,790,0.12
Midland/Odessa,453,0.13,352,0.1,805,0.12
Harrisburg,426,0.12,431,0.13,857,0.12
Huntsville,426,0.12,416,0.12,842,0.12
Cedar Rapids/Iowa City,408,0.12,433,0.13,841,0.12
Akron,397,0.12,362,0.11,759,0.11
Bend/Redmond,385,0.11,386,0.11,771,0.11
Wilmington,379,0.11,300,0.09,679,0.1
Valparaiso,379,0.11,304,0.09,683,0.1
Jackson/Vicksburg,371,0.11,375,0.11,746,0.11
Medford,366,0.11,378,0.11,744,0.11
Sioux Falls,358,0.1,387,0.11,745,0.11
Eugene,349,0.1,405,0.12,754,0.11
Charlottesville,349,0.1,311,0.09,660,0.1
Fargo,341,0.1,306,0.09,647,0.09
Roanoke,334,0.1,293,0.09,627,0.09
Bozeman,333,0.1,300,0.09,633,0.09
Fort Wayne,331,0.1,305,0.09,636,0.09
South Bend,328,0.1,317,0.09,645,0.09
Islip,320,0.09,251,0.07,571,0.08
Sarasota/Bradenton,318,0.09,321,0.09,639,0.09
Lubbock,318,0.09,290,0.08,608,0.09
Santa Barbara,316,0.09,264,0.08,580,0.08
St. Petersburg,313,0.09,237,0.07,550,0.08
Aspen,306,0.09,318,0.09,624,0.09
Mobile,305,0.09,296,0.09,601,0.09
Shreveport,302,0.09,310,0.09,612,0.09
Pasco/Kennewick/Richland,302,0.09,283,0.08,585,0.09
Rapid City,285,0.08,266,0.08,551,0.08
Appleton,285,0.08,259,0.08,544,0.08
Baton Rouge,281,0.08,321,0.09,602,0.09
Moline,272,0.08,279,0.08,551,0.08
Punta Gorda,268,0.08,206,0.06,474,0.07
Peoria,268,0.08,235,0.07,503,0.07
Tallahassee,266,0.08,266,0.08,532,0.08
Amarillo,261,0.08,247,0.07,508,0.07
Panama City,257,0.07,226,0.07,483,0.07
Green Bay,256,0.07,211,0.06,467,0.07
Corpus Christi,254,0.07,225,0.07,479,0.07
San Luis Obispo,248,0.07,211,0.06,459,0.07
Missoula,244,0.07,227,0.07,471,0.07
Hilo,242,0.07,212,0.06,454,0.07
Allentown/Bethlehem/Easton,238,0.07,237,0.07,475,0.07
Bangor,234,0.07,235,0.07,469,0.07
Mission/McAllen/Edinburg,232,0.07,209,0.06,441,0.06
Scranton/Wilkes-Barre,230,0.07,200,0.06,430,0.06
Bismarck/Mandan,228,0.07,182,0.05,410,0.06
Augusta,227,0.07,229,0.07,456,0.07
Flint,225,0.07,168,0.05,393,0.06
Evansville,223,0.06,205,0.06,428,0.06
Charleston/Dunbar,218,0.06,245,0.07,463,0.07
Traverse City,215,0.06,210,0.06,425,0.06
Montgomery,208,0.06,189,0.06,397,0.06
State College,201,0.06,150,0.04,351,0.05
Billings,200,0.06,211,0.06,411,0.06
Jackson,200,0.06,214,0.06,414,0.06
Gulfport/Biloxi,199,0.06,150,0.04,349,0.05
Gainesville,199,0.06,217,0.06,416,0.06
Kalispell,197,0.06,157,0.05,354,0.05
Santa Rosa,192,0.06,164,0.05,356,0.05
Key West,188,0.05,186,0.05,374,0.05
Durango,186,0.05,179,0.05,365,0.05
Monterey,186,0.05,166,0.05,352,0.05
Harlingen/San Benito,176,0.05,146,0.04,322,0.05
Grand Junction,175,0.05,157,0.05,332,0.05
Lafayette,175,0.05,232,0.07,407,0.06
Fairbanks,171,0.05,126,0.04,297,0.04
Newport News/Williamsburg,163,0.05,137,0.04,300,0.04
Lansing,162,0.05,166,0.05,328,0.05
Killeen,151,0.04,134,0.04,285,0.04
Bristol/Johnson City/Kingsport,149,0.04,175,0.05,324,0.05
Jacksonville/Camp Lejeune,148,0.04,134,0.04,282,0.04
Lincoln,146,0.04,175,0.05,321,0.05
Juneau,143,0.04,148,0.04,291,0.04
Daytona Beach,142,0.04,118,0.03,260,0.04
Bloomington/Normal,141,0.04,129,0.04,270,0.04
Trenton,140,0.04,147,0.04,287,0.04
Charlotte Amalie,137,0.04,104,0.03,241,0.04
Kalamazoo,136,0.04,159,0.05,295,0.04
Bellingham,133,0.04,139,0.04,272,0.04
Mosinee,132,0.04,118,0.03,250,0.04
Montrose/Delta,132,0.04,124,0.04,256,0.04
Brownsville,129,0.04,79,0.02,208,0.03
Ithaca/Cortland,128,0.04,119,0.03,247,0.04
Champaign/Urbana,124,0.04,130,0.04,254,0.04
Duluth,122,0.04,109,0.03,231,0.03
Atlantic City,122,0.04,114,0.03,236,0.03
Newburgh/Poughkeepsie,121,0.04,142,0.04,263,0.04
Monroe,120,0.03,114,0.03,234,0.03
St. George,120,0.03,120,0.03,240,0.03
Everett,119,0.03,120,0.03,239,0.03
New Bern/Morehead/Beaufort,119,0.03,84,0.02,203,0.03
Aguadilla,116,0.03,112,0.03,228,0.03
Fort Smith,115,0.03,80,0.02,195,0.03
Santa Fe,114,0.03,101,0.03,215,0.03
Alexandria,113,0.03,127,0.04,240,0.03
Laredo,113,0.03,86,0.03,199,0.03
Eagle,112,0.03,107,0.03,219,0.03
Great Falls,110,0.03,129,0.04,239,0.03
Idaho Falls,106,0.03,107,0.03,213,0.03
Helena,106,0.03,84,0.02,190,0.03
Minot,104,0.03,90,0.03,194,0.03
Bakersfield,103,0.03,86,0.03,189,0.03
Lynchburg,103,0.03,93,0.03,196,0.03
Toledo,101,0.03,70,0.02,171,0.02
Abilene,99,0.03,93,0.03,192,0.03
Erie,99,0.03,104,0.03,203,0.03
College Station/Bryan,96,0.03,69,0.02,165,0.02
Saginaw/Bay City/Midland,96,0.03,94,0.03,190,0.03
Lanai,95,0.03,97,0.03,192,0.03
Elmira/Corning,92,0.03,80,0.02,172,0.03
Hilton Head,87,0.03,61,0.02,148,0.02
Hayden,86,0.03,65,0.02,151,0.02
Melbourne,82,0.02,92,0.03,174,0.03
Manhattan/Ft. Riley,81,0.02,75,0.02,156,0.02
Salisbury,81,0.02,79,0.02,160,0.02
Lake Charles,79,0.02,75,0.02,154,0.02
La Crosse,78,0.02,77,0.02,155,0.02
Ketchikan,73,0.02,77,0.02,150,0.02
Sioux City,72,0.02,67,0.02,139,0.02
Marquette,72,0.02,67,0.02,139,0.02
Waco,71,0.02,65,0.02,136,0.02
Flagstaff,71,0.02,55,0.02,126,0.02
Arcata/Eureka,70,0.02,80,0.02,150,0.02
Worcester,69,0.02,73,0.02,142,0.02
Ashland,69,0.02,49,0.01,118,0.02
San Angelo,69,0.02,59,0.02,128,0.02
Casper,69,0.02,88,0.03,157,0.02
Yuma,68,0.02,43,0.01,111,0.02
Hoolehua,66,0.02,87,0.03,153,0.02
Williston,65,0.02,62,0.02,127,0.02
Greenville,62,0.02,67,0.02,129,0.02
Redding,62,0.02,61,0.02,123,0.02
Sun Valley/Hailey/Ketchum,62,0.02,63,0.02,125,0.02
Nantucket,61,0.02,61,0.02,122,0.02
Unalaska,61,0.02,36,0.01,97,0.01
Grand Forks,61,0.02,68,0.02,129,0.02
Yakima,59,0.02,57,0.02,116,0.02
Tyler,59,0.02,63,0.02,122,0.02
Dothan,58,0.02,58,0.02,116,0.02
Florence,58,0.02,55,0.02,113,0.02
Pullman,56,0.02,63,0.02,119,0.02
Dubuque,56,0.02,42,0.01,98,0.01
Concord,52,0.02,52,0.02,104,0.02
Wichita Falls,52,0.02,45,0.01,97,0.01
Lawton/Fort Sill,51,0.01,61,0.02,112,0.02
Cody,51,0.01,51,0.01,102,0.01
Wenatchee,51,0.01,75,0.02,126,0.02
Latrobe,50,0.01,29,0.01,79,0.01
Sitka,50,0.01,26,0.01,76,0.01
Salina,49,0.01,38,0.01,87,0.01
Belleville,48,0.01,66,0.02,114,0.02
Texarkana,48,0.01,43,0.01,91,0.01
Pocatello,47,0.01,28,0.01,75,0.01
Guam,46,0.01,41,0.01,87,0.01
Ponce,46,0.01,35,0.01,81,0.01
Joplin,46,0.01,51,0.01,97,0.01
Beaumont/Port Arthur,45,0.01,30,0.01,75,0.01
Walla Walla,45,0.01,42,0.01,87,0.01
Staunton,45,0.01,29,0.01,74,0.01
Roswell,44,0.01,44,0.01,88,0.01
Stockton,44,0.01,64,0.02,108,0.02
Christiansted,44,0.01,20,0.01,64,0.01
Meridian,44,0.01,38,0.01,82,0.01
Quincy,43,0.01,34,0.01,77,0.01
Gunnison,43,0.01,45,0.01,88,0.01
New Haven,42,0.01,29,0.01,71,0.01
Hays,41,0.01,49,0.01,90,0.01
Cedar City,39,0.01,21,0.01,60,0.01
Wrangell,39,0.01,14,0.0,53,0.01
Paducah,39,0.01,49,0.01,88,0.01
Clarksburg/Fairmont,39,0.01,32,0.01,71,0.01
Stillwater,38,0.01,31,0.01,69,0.01
Cordova,38,0.01,25,0.01,63,0.01
Plattsburgh,38,0.01,53,0.02,91,0.01
Eau Claire,38,0.01,27,0.01,65,0.01
Lewisburg,38,0.01,30,0.01,68,0.01
Binghamton,37,0.01,42,0.01,79,0.01
Twin Falls,36,0.01,49,0.01,85,0.01
Watertown,36,0.01,34,0.01,70,0.01
Waterloo,35,0.01,26,0.01,61,0.01
Mammoth Lakes,33,0.01,29,0.01,62,0.01
Petersburg,32,0.01,32,0.01,64,0.01
Grand Island,32,0.01,56,0.02,88,0.01
Cape Girardeau,31,0.01,26,0.01,57,0.01
Longview,30,0.01,42,0.01,72,0.01
Valdosta,30,0.01,31,0.01,61,0.01
Hobbs,30,0.01,24,0.01,54,0.01
Jamestown,29,0.01,31,0.01,60,0.01
Laramie,29,0.01,15,0.0,44,0.01
Hattiesburg/Laurel,29,0.01,19,0.01,48,0.01
Hancock/Houghton,29,0.01,26,0.01,55,0.01
Lewiston,28,0.01,31,0.01,59,0.01
Muskegon,27,0.01,27,0.01,54,0.01
Pueblo,27,0.01,44,0.01,71,0.01
Deadhorse,27,0.01,22,0.01,49,0.01
Saipan,27,0.01,25,0.01,52,0.01
Williamsport,27,0.01,19,0.01,46,0.01
Dickinson,27,0.01,28,0.01,55,0.01
Kodiak,27,0.01,29,0.01,56,0.01
Brunswick,27,0.01,28,0.01,55,0.01
Kapalua,26,0.01,33,0.01,59,0.01
Garden City,26,0.01,25,0.01,51,0.01
Yakutat,26,0.01,26,0.01,52,0.01
Martha's Vineyard,25,0.01,30,0.01,55,0.01
Gillette,25,0.01,29,0.01,54,0.01
Rockford,25,0.01,37,0.01,62,0.01
Rock Springs,25,0.01,20,0.01,45,0.01
