carrier_name,total_gallons
ABX Air Inc,6367883.0
Air Transport International,40611711.0
Air Wisconsin Airlines Corp,130683426.0
Alaska Airlines Inc.,2678455461.0
Allegiant Air,849762053.0
Aloha Air Cargo,24056815.0
American Airlines Inc.,16634886458.0
Amerijet International,110998988.0
Asia Pacific,18416840.0
Atlas Air Inc.,2152911705.0
Avjet Corporation,3253401.0
"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",8946553.0
Centurion Cargo Inc.,13016674.0
Compass Airlines,0.0
Delta Air Lines Inc.,16550250321.0
"Dynamic Airways, LLC",4810326.0
Eastern Airlines Group Inc.,9019760.0
"Eastern Airlines f/k/a Dynamic Airways, LLC",1862466.0
Elite Airways LLC,6080250.0
Endeavor Air Inc.,0.0
Envoy Air,0.0
ExpressJet Airlines Inc.,2678243.0
ExpressJet Airlines LLC,0.0
Falcon Air Express,320447.0
Federal Express Corporation,5464666452.0
Florida West Airlines Inc.,0.0
Frontier Airlines Inc.,1125294462.0
GoJet Airlines LLC d/b/a United Express,0.0
Gulf And Caribbean Cargo,18237849.0
Hawaiian Airlines Inc.,1213558465.0
Horizon Air,0.0
Island Air Hawaii,5688640.0
"Jet Aviation Flight Services, Inc.",0.0
JetBlue Airways,3767059798.0
Kalitta Air LLC,275182958.0
Kalitta Charters II,11724995.0
Lynden Air Cargo Airlines,12572434.0
Mesa Airlines Inc.,0.0
Miami Air International,32098059.0
National Air Cargo Group Inc d/ba National Airlines,41730788.0
"National Air Cargo Group, Inc. d/b/a Murray Air",8841821.0
Northern Air Cargo Inc.,26445797.0
Omni Air Express,54891319.0
Omni Air International LLC,121987538.0
PSA Airlines Inc.,0.0
Polar Air Cargo Airways,875462934.0
Republic Airline,525557.0
Republic Airlines,286572832.0
"Scott Aviation, LLC  d/b/a  Silver Air",0.0
Shuttle America Corp.,111864211.0
Sky King Inc.,0.0
Sky Lease Cargo,44277625.0
SkyWest Airlines Inc.,381704000.0
Songbird Airways Inc.,856284.0
Southern Air Inc.,363720186.0
Southwest Airlines Co.,9599039540.0
Spirit Air Lines,1663307557.0
Sun Country Airlines d/b/a MN Airlines,263655891.0
"Swift Air, LLC",10729841.0
"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",30304270.0
Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,21885050.0
US Airways Inc.,567272869.0
USA Jet Airlines Inc.,28078606.0
United Air Lines Inc.,15956907000.0
United Parcel Service,3881982000.0
Virgin America,569823313.0
Vision Airlines,838615.0
Western Global,78783684.0
XTRA Airways,19013295.0
