dep_time,distance,actual_elapsed_time,flight_class_distance,flight_class_time,hour,minute,second
00:24:00,3711.0,391.0,long,long,00,24,00
00:09:00,3043.0,349.0,long,medium,00,09,00
00:41:00,3711.0,400.0,long,long,00,41,00
02:56:00,3302.0,379.0,long,long,02,56,00
03:15:00,3711.0,409.0,long,long,03,15,00
06:59:00,3801.0,407.0,long,long,06,59,00
06:48:00,3801.0,430.0,long,long,06,48,00
06:55:00,3801.0,432.0,long,long,06,55,00
06:45:00,3043.0,363.0,long,long,06,45,00
06:33:00,3801.0,449.0,long,long,06,33,00
06:36:00,3801.0,430.0,long,long,06,36,00
06:32:00,3801.0,432.0,long,long,06,32,00
06:44:00,3801.0,447.0,long,long,06,44,00
06:50:00,3801.0,421.0,long,long,06,50,00
07:37:00,3801.0,408.0,long,long,07,37,00
07:09:00,3801.0,439.0,long,long,07,09,00
07:07:00,3801.0,450.0,long,long,07,07,00
07:00:00,3801.0,440.0,long,long,07,00,00
07:52:00,3801.0,424.0,long,long,07,52,00
07:58:00,4962.0,668.0,long,long,07,58,00
07:42:00,3801.0,403.0,long,long,07,42,00
07:58:00,4962.0,629.0,long,long,07,58,00
07:55:00,4962.0,648.0,long,long,07,55,00
07:54:00,3801.0,409.0,long,long,07,54,00
07:06:00,3801.0,436.0,long,long,07,06,00
07:46:00,3801.0,406.0,long,long,07,46,00
07:48:00,3801.0,416.0,long,long,07,48,00
07:27:00,3801.0,430.0,long,long,07,27,00
07:00:00,3801.0,440.0,long,long,07,00,00
07:32:00,3801.0,426.0,long,long,07,32,00
07:52:00,4962.0,614.0,long,long,07,52,00
07:41:00,3801.0,419.0,long,long,07,41,00
07:20:00,3801.0,412.0,long,long,07,20,00
07:48:00,3801.0,402.0,long,long,07,48,00
07:33:00,3801.0,426.0,long,long,07,33,00
07:48:00,4962.0,655.0,long,long,07,48,00
07:43:00,3801.0,431.0,long,long,07,43,00
07:42:00,3801.0,418.0,long,long,07,42,00
07:51:00,3801.0,415.0,long,long,07,51,00
07:05:00,3801.0,427.0,long,long,07,05,00
08:51:00,4817.0,624.0,long,long,08,51,00
08:42:00,4817.0,605.0,long,long,08,42,00
08:40:00,4817.0,651.0,long,long,08,40,00
08:00:00,4962.0,634.0,long,long,08,00,00
08:34:00,4817.0,602.0,long,long,08,34,00
08:26:00,4962.0,632.0,long,long,08,26,00
08:12:00,4962.0,652.0,long,long,08,12,00
08:18:00,4962.0,639.0,long,long,08,18,00
08:29:00,4962.0,641.0,long,long,08,29,00
08:38:00,4962.0,629.0,long,long,08,38,00
08:37:00,4962.0,684.0,long,long,08,37,00
08:41:00,4962.0,652.0,long,long,08,41,00
